Year,Rank,Team,Points
2000,44,Cincinnati,0
2001,51,Cincinnati,0
2002,76,Cincinnati,87.58
2003,96,Cincinnati,82.93
2004,104,Cincinnati,72.99
2005,85,Cincinnati,93.59
2006,109,Cincinnati,63.4
2007,87,Cincinnati,111.09
2008,104,Cincinnati,90.28
2009,56,Cincinnati,176.05
2010,56,Cincinnati,184.21
2011,47,Cincinnati,168.77
2012,51,Cincinnati,185.26
2013,60,Cincinnati,162.33
2014,65,Cincinnati,161.43
2015,68,Cincinnati,162.45
2016,74,Cincinnati,152.74
2017,63,Cincinnati,167.8
2018,48,Cincinnati,192.64
2019,79,Cincinnati,158.17
2020,40,Cincinnati,194.95
2021,42,Cincinnati,190.66
2022,42,Cincinnati,197.75
2023,75,Cincinnati,167.89
2024,51,Cincinnati,196.87
